"date","platform","handle","followers","views","outlier_x","niche","format_template","hook_text","hook_visual","hook_audio","audio_mix","pacing","effort","why_it_worked","our_adaptation","priority","content_id","url"
"2026-07-30","instagram","worldofveshali","15600","6100000","1536.8","Home Decor","before/after montage","Transformation aisi kro ki 4 log bole 'AI hai'","빈집→완성 럭셔리 거실 급전환","볼리우드 업비트 즉시 시작","music_only","moderate","1일","'AI인 줄 알았다' 훅 = 변신의 극대화 프레임. 결과 먼저 보여주고 의심하게 만듦","클레임 업체 B/A 사진으로 'AI가 아닙니다 — Marina 실제 시공' 훅","High","DaSiqXOtqf2","https://www.instagram.com/reel/DaSiqXOtqf2/"
"2026-07-30","instagram","ashwini__ugale__","2800","347200","33.4","Interior Design","split-screen static","From Basic To Luxurious","복도 사진 2장 스플릿 즉시 노출","잔잔한 어쿠스틱","music_only","slow","1시간","사진 2장+텍스트 5단어로 성립 — 최소 제작·최대 효율. 2.8K 팔로워로 347K","업체 제공 사진으로 주 1회 고정 스플릿 포맷","High","Da5R2aDoB_p","https://www.instagram.com/reel/Da5R2aDoB_p/"
"2026-07-30","instagram","3asem.alhelwani","17000","135800","39.5","Real Estate","talking-head narrative","So I bought this apartment","발코니 선셋 뷰에서 정면 응시","즉시 발화 시작","voice_only","moderate","1시간","두바이 + 실제 금액(AED 6.75M) 공개 = 신뢰·호기심 동시 자극","창업자 내러티브: '두바이 2BR 견적 12개 받아봤다 — 차이가 3배였다'","High","Dax2z0UInwo","https://www.instagram.com/reel/Dax2z0UInwo/"
"2026-07-30","instagram","thefaffingnest","139200","492600","13.0","Home Decor","beat-synced process montage","You can't polish a turd","플레인한 방 응시→페인팅 급컷","리듬 트랙 즉시","music_only","fast","1주","도발적 반박 문구 + 과정 몽타주 — '불가능하다는 걸 해냄' 서사","레드플래그 시리즈에 도발 훅 차용","Mid","DaUsRW6sveY","https://www.instagram.com/reel/DaUsRW6sveY/"
"2026-07-30","instagram","kanuu.priyaa","104600","930200","70.8","Lifestyle","POV walkthrough tour","1 BHK House Tour 📍Dubai","셀피 POV→발코니 두바이 스카이라인","업비트 랩/팝","voice+music","moderate","1일","두바이 지명 + 렌트 실금액 공개 투어 — 지역 타겟팅 정확","'이 집 고치면 얼마?' 계산기 연동 투어 변형","Mid","DbDofjPMFf1","https://www.instagram.com/reel/DbDofjPMFf1/"
"2026-07-30","instagram","mesi.mum","9300","742800","92.7","Home & DIY","transformation montage","When others said 'It's still brand new why would you knock it down'","멀쩡한 주방→철거 현장 워킹샷","시네마틱 인트로","music_only","moderate","1일","반대를 무릅쓴 결정 서사 — 공감+정당화 욕구 자극","소비자 시공 스토리 리그램 포맷","Mid","DaplXa1xkFj","https://www.instagram.com/reel/DaplXa1xkFj/"
"2026-07-30","instagram","kaylasuestyled","2600","127700","47.3","Home & Lifestyle","talking head + room tour","So I fear I've made a terrible mistake","밝은 거실에 선 크리에이터","즉시 발화: 실수 고백","voice_only","moderate","1일","실수 고백 훅 — 2.6K 팔로워로 127K. 완벽함보다 취약함이 시청 유지","'두바이 시공에서 본 최악의 실수' 시리즈","High","DajKTzRRly3","https://www.instagram.com/reel/DajKTzRRly3/"
"2026-07-30","instagram","projectsajavat","5800","306300","43.6","Home Improvement","split-screen static","(무텍스트)","세탁실 B/A 스플릿 즉시","업비트 로파이","music_only","moderate","1시간","텍스트 없이 비주얼 대비만으로 성립하는 최소 포맷","업체 사진 스플릿 변형","Mid","DaemlKYxnI2","https://www.instagram.com/reel/DaemlKYxnI2/"
"2026-07-30","tiktok","seunsthetics","1800","132500","130.2","Home Improvement","before/after edit","(무텍스트)","완성본 선공개 급컷","트렌딩 일렉트로닉","music_only","fast","1주","결과 선공개→과정 역행 편집. 1.8K 팔로워로 130배 아웃라이어","완성컷 먼저 보여주는 편집 원칙 채택","Mid","7660928865119882518","https://www.tiktok.com/@seunsthetics/video/7660928865119882518"
"2026-07-30","tiktok","xauusd_786","19900","135300","13.2","Home Decor","beat-synced montage","Before and After","비트에 싱크된 방 전환","폰크 드랍","music_only","fast","1일","비트싱크 전환 쾌감 — 오디오가 편집의 뼈대","오디오 싱크 편집 기법 참고","Low","7658073442645839125","https://www.tiktok.com/@xauusd_786/video/7658073442645839125"
"2026-07-30","tiktok","moodywhimsicalforest","47800","1100000","73.8","Home Improvement","before/after showcase","Them: I would've passed on this home","텅 빈 무미건조한 방 슬로우 팬","게임 보이스오버('next level')+일렉트로닉","voice+music","fast","1주","'남들이 거른 집' 반박 서사 + 게임 사운드 유머 — 1.1M 뷰","'남들이 거른 두바이 구축 아파트' 리노베 서사","High","7658311068040695054","https://www.tiktok.com/@moodywhimsicalforest/video/7658311068040695054"
"2026-07-30","tiktok","mrsdeleon15","6400","188500","111.7","Home Decor & DIY","vlog montage series","Home Improvement Part 3","페인트질 클로즈업","에너제틱 업비트","voice+music","fast","1주+","시리즈물(Part 3) = 팔로우 유인 장치. 6.4K 팔로워로 111배","브리프 진행 시리즈물: 매칭→시공→완성 추적","Mid","7665549637478059285","https://www.tiktok.com/@mrsdeleon15/video/7665549637478059285"
"2026-07-30","tiktok","myblessedhome","48400","74800","28.1","Home Decor","product install reveal","Whoever said curtains don't make a difference...","커튼 없는 창 정적샷","팝 비트","music_only","moderate","1일","반박 훅 + 단일 아이템 집중 — 스폰서드도 터짐","'조명/커튼 하나로 달라지는 것' 단일 요소 시리즈","Low","7662061630003465503","https://www.tiktok.com/@myblessedhome/video/7662061630003465503"
"2026-07-30","tiktok","itsbybecks","8000","155200","40.0","Home Improvement","before/after montage","Day 1: what should we do with this 3x3m room?!","1인칭 빈 방 진입","리듬 비트","music_only","moderate","1주","질문형 Day 1 훅 = 댓글 참여 유도 + 시리즈 예고","'이 방 어떻게 고칠까?' 투표 유도 훅","Mid","7663215080028392726","https://www.tiktok.com/@itsbybecks/video/7663215080028392726"
"2026-07-30","tiktok","ninalaurent_","41400","101000","57.2","Home & Lifestyle","before/after montage","the apartment we visited...","빈 아파트 패닝","캐치한 팝","music_only","moderate","1일","1년 리노베이션을 14초로 압축한 서사","장기 프로젝트 압축 편집 참고","Low","7659303124292635937","https://www.tiktok.com/@ninalaurent_/video/7659303124292635937"
"2026-07-30","tiktok","morganjonesbell","7700","24400","22.3","Home & DIY","POV feature list","5 things worth the money — Home Renovation Edition","POV로 욕실 진입","즉시 내레이션","voice+music","moderate","1일","교육 리스트 + '실제로 돈 쓴 사람'의 검증 — 저장 유도형","'두바이 리노베에서 돈값 하는 5가지' — 가이드 그대로 변환","High","7663244873700592927","https://www.tiktok.com/@morganjonesbell/video/7663244873700592927"
"2026-07-30","instagram","buraqtech.ae","884","138200","33.6","Home Improvement","process demo + text overlay","What Dubai Tap water actually looks like...","무릎 꿇고 청색 필터 하우징 분해 클로즈업","리드미컬한 서스펜스 비트 즉시","music_only","moderate","1시간","두바이 특유의 생활 불안(수질)을 '증거 비주얼'로 3초에 증명. 884 팔로워로 138K","두바이 아파트 하자 실물 증거 시리즈 — 수도필터·에어컨 덕트·실리콘 곰팡이 클로즈업 후 21편 가이드 링크","High","DaqSKj3IsLW","https://www.instagram.com/reel/DaqSKj3IsLW/"
"2026-07-30","instagram","benjaminlcleone","2700","35200","26.2","Real Estate","talking head + data overlay","Distressed -42% / OP 3,500,000 / SP 2,050,000","공사 중인 건물 앞 정면 토킹헤드","즉시 발화 · 긴급한 프로페셔널 톤","voice_only","moderate","1시간","숫자를 훅 텍스트에 그대로 박음 — 해석 불필요한 정보 밀도가 스크롤을 멈춤","계산기 데이터로 '견적 카드' 릴스: 훅에 AED 실수치만 노출 (2BR 페인트 8K / 풀거트 160K)","High","DasvoO_jA5R","https://www.instagram.com/reel/DasvoO_jA5R/"
"2026-07-30","instagram","alyharper","3500","167800","74.7","Home & Lifestyle","talking head + shopping b-roll","Interior Design HUGE hack for DXB girlies","차 운전석에서 정면 토킹","즉시 발화","voice+music","fast","1일","'DXB girlies' 지역 호명 + 돈 아끼는 법 = 3.5K 팔로워로 167K. 오늘 최고 효율","'DXB에서 리노베 견적 아끼는 법' — 649 DB 평점·가격대 비교로 지역 호명 훅","High","DaN2-JuxKmr","https://www.instagram.com/reel/DaN2-JuxKmr/"
"2026-07-30","instagram","kirnoorbrar","16400","75100","20.1","Real Estate","guided walkthrough + voiceover","Below OP Deal. Studio at AED 475k Only","문 열고 럭셔리 아파트 진입 팔로우캠","업비트 팝 즉시","voice+music","moderate","1일","가격 라벨을 훅에 고정 + 진입 팔로우캠 — 부동산 표준 문법","브리프 보드 매칭 사례 워크스루 변형","Mid","DaX-KrBCEyD","https://www.instagram.com/reel/DaX-KrBCEyD/"
